il_adi,il_kodu,ilce_adi,ilce_kodu
ADANA,1,ALADAĞ,1757
ADANA,1,CEYHAN,1219
ADANA,1,ÇUKUROVA,2033
ADANA,1,FEKE,1329
ADANA,1,İMAMOĞLU,1806
ADANA,1,KARAİSALI,1437
ADANA,1,KARATAŞ,1443
ADANA,1,KOZAN,1486
ADANA,1,POZANTI,158
ADANA,1,SAİMBEYLİ,1588
ADANA,1,SARIÇAM,2032
ADANA,1,SEYHAN,1104
ADANA,1,TUFANBEYLİ,1687
ADANA,1,YUMURTALIK,1734
ADANA,1,YÜREĞİR,1748
ADIYAMAN,2,BESNİ,1182
ADIYAMAN,2,ÇELİKHAN,1246
ADIYAMAN,2,GERGER,1347
ADIYAMAN,2,GÖLBAŞI,1354
ADIYAMAN,2,KAHTA,1425
ADIYAMAN,2,MERKEZ,1105
ADIYAMAN,2,SAMSAT,1592
ADIYAMAN,2,SİNCİK,1985
ADIYAMAN,2,TUT,1989
AFYONKARAHİSAR,3,BAŞMAKÇI,1771
AFYONKARAHİSAR,3,BAYAT,1773
AFYONKARAHİSAR,3,BOLVADİN,12
AFYONKARAHİSAR,3,ÇAY,1239
AFYONKARAHİSAR,3,ÇOBANLAR,1906
AFYONKARAHİSAR,3,DAZKIRI,1267
AFYONKARAHİSAR,3,DİNAR,1281
AFYONKARAHİSAR,3,EMİRDAĞ,1306
AFYONKARAHİSAR,3,EVCİLER,1923
AFYONKARAHİSAR,3,HOCALAR,1944
AFYONKARAHİSAR,3,İHSANİYE,1404
AFYONKARAHİSAR,3,İSCEHİSAR,1809
AFYONKARAHİSAR,3,KIZILÖREN,1961
AFYONKARAHİSAR,3,MERKEZ,1108
AFYONKARAHİSAR,3,SANDIKLI,1594
AFYONKARAHİSAR,3,SİNANPAŞA,1626
AFYONKARAHİSAR,3,SULTANDAĞI,1639
AFYONKARAHİSAR,3,ŞUHUT,1664
AĞRI,4,DİYADİN,1283
AĞRI,4,DOĞUBAYAZIT,1287
AĞRI,4,ELEŞKİRT,1301
AĞRI,4,HAMUR,1379
AĞRI,4,MERKEZ,1111
AĞRI,4,PATNOS,1568
AĞRI,4,TAŞLIÇAY,1667
AĞRI,4,TUTAK,1691
AMASYA,5,GÖYNÜCEK,1363
AMASYA,5,GÜMÜŞHACIKÖY,1368
AMASYA,5,HAMAMÖZÜ,1938
AMASYA,5,MERKEZ,1134
AMASYA,5,MERZİFON,1524
AMASYA,5,SULUOVA,1641
AMASYA,5,TAŞOVA,1668
ANKARA,6,AKYURT,1872
ANKARA,6,ALTINDAĞ,113
ANKARA,6,AYAŞ,1157
ANKARA,6,BALA,1167
ANKARA,6,BEYPAZARI,1187
ANKARA,6,ÇAMLIDERE,1227
ANKARA,6,ÇANKAYA,1231
ANKARA,6,ÇUBUK,126
ANKARA,6,ELMADAĞ,1302
ANKARA,6,ETİMESGUT,1922
ANKARA,6,EVREN,1924
ANKARA,6,GÖLBAŞI,1744
ANKARA,6,GÜDÜL,1365
ANKARA,6,HAYMANA,1387
ANKARA,6,KAHRAMANKAZAN,1815
ANKARA,6,KALECİK,1427
ANKARA,6,KEÇİÖREN,1745
ANKARA,6,KIZILCAHAMAM,1473
ANKARA,6,MAMAK,1746
ANKARA,6,NALLIHAN,1539
ANKARA,6,POLATLI,1578
ANKARA,6,PURSAKLAR,2034
ANKARA,6,SİNCAN,1747
ANKARA,6,ŞEREFLİKOÇHİSAR,1658
ANKARA,6,YENİMAHALLE,1723
ANTALYA,7,AKSEKİ,1121
ANTALYA,7,AKSU,2035
ANTALYA,7,ALANYA,1126
ANTALYA,7,DEMRE,1811
ANTALYA,7,DÖŞEMEALTI,2036
ANTALYA,7,ELMALI,1303
ANTALYA,7,FİNİKE,1333
ANTALYA,7,GAZİPAŞA,1337
ANTALYA,7,GÜNDOĞMUŞ,137
ANTALYA,7,İBRADI,1946
ANTALYA,7,KAŞ,1451
ANTALYA,7,KEMER,1959
ANTALYA,7,KEPEZ,2037
ANTALYA,7,KONYAALTI,2038
ANTALYA,7,KORKUTELİ,1483
ANTALYA,7,KUMLUCA,1492
ANTALYA,7,MANAVGAT,1512
ANTALYA,7,MURATPAŞA,2039
ANTALYA,7,SERİK,1616
ARTVİN,8,ARDANUÇ,1145
ARTVİN,8,ARHAVİ,1147
ARTVİN,8,BORÇKA,1202
ARTVİN,8,HOPA,1395
ARTVİN,8,KEMALPAŞA,
ARTVİN,8,MERKEZ,1152
ARTVİN,8,MURGUL,1828
ARTVİN,8,ŞAVŞAT,1653
ARTVİN,8,YUSUFELİ,1736
AYDIN,9,BOZDOĞAN,1206
AYDIN,9,BUHARKENT,1781
AYDIN,9,ÇİNE,1256
AYDIN,9,DİDİM,2
AYDIN,9,EFELER,2076
AYDIN,9,GERMENCİK,1348
AYDIN,9,İNCİRLİOVA,1807
AYDIN,9,KARACASU,1435
AYDIN,9,KARPUZLU,1957
AYDIN,9,KOÇARLI,1479
AYDIN,9,KÖŞK,1968
AYDIN,9,KUŞADASI,1497
AYDIN,9,KUYUCAK,1498
AYDIN,9,NAZİLLİ,1542
AYDIN,9,SÖKE,1637
AYDIN,9,SULTANHİSAR,164
AYDIN,9,YENİPAZAR,1724
BALIKESİR,10,ALTIEYLÜL,2077
BALIKESİR,10,AYVALIK,1161
BALIKESİR,10,BALYA,1169
BALIKESİR,10,BANDIRMA,1171
BALIKESİR,10,BİGADİÇ,1191
BALIKESİR,10,BURHANİYE,1216
BALIKESİR,10,DURSUNBEY,1291
BALIKESİR,10,EDREMİT,1294
BALIKESİR,10,ERDEK,131
BALIKESİR,10,GÖMEÇ,1928
BALIKESİR,10,GÖNEN,136
BALIKESİR,10,HAVRAN,1384
BALIKESİR,10,İVRİNDİ,1418
BALIKESİR,10,KARESİ,2078
BALIKESİR,10,KEPSUT,1462
BALIKESİR,10,MANYAS,1514
BALIKESİR,10,MARMARA,1824
BALIKESİR,10,SAVAŞTEPE,1608
BALIKESİR,10,SINDIRGI,1619
BALIKESİR,10,SUSURLUK,1644
BİLECİK,11,BOZÜYÜK,121
BİLECİK,11,GÖLPAZARI,1359
BİLECİK,11,İNHİSAR,1948
BİLECİK,11,MERKEZ,1192
BİLECİK,11,OSMANELİ,1559
BİLECİK,11,PAZARYERİ,1571
BİLECİK,11,SÖĞÜT,1636
BİLECİK,11,YENİPAZAR,1857
BİNGÖL,12,ADAKLI,175
BİNGÖL,12,GENÇ,1344
BİNGÖL,12,KARLIOVA,1446
BİNGÖL,12,KİĞI,1475
BİNGÖL,12,MERKEZ,1193
BİNGÖL,12,SOLHAN,1633
BİNGÖL,12,YAYLADERE,1855
BİNGÖL,12,YEDİSU,1996
BİTLİS,13,ADİLCEVAZ,1106
BİTLİS,13,AHLAT,1112
BİTLİS,13,GÜROYMAK,1798
BİTLİS,13,HİZAN,1394
BİTLİS,13,MERKEZ,1196
BİTLİS,13,MUTKİ,1537
BİTLİS,13,TATVAN,1669
BOLU,14,DÖRTDİVAN,1916
BOLU,14,GEREDE,1346
BOLU,14,GÖYNÜK,1364
BOLU,14,KIBRISCIK,1466
BOLU,14,MENGEN,1522
BOLU,14,MERKEZ,1199
BOLU,14,MUDURNU,1531
BOLU,14,SEBEN,161
BOLU,14,YENİÇAĞA,1997
BURDUR,15,AĞLASUN,1109
BURDUR,15,ALTINYAYLA,1874
BURDUR,15,BUCAK,1211
BURDUR,15,ÇAVDIR,1899
BURDUR,15,ÇELTİKÇİ,1903
